"","X","status","county","incident_date","year","quarter","clean_prior_status","prior_status","narrative"
"579",1038,"near fatality","Philadelphia",2020-11-30,2020,2020-10-01,"N"," The family had no prior documented childwelfare involvement.","33. A 7-month-old female child nearly died on November 30, 2020, as a result ofserious physical neglect. Philadelphia Department of Human Services indicatedthe report on January 11, 2021, naming the victim child’s maternal grandmotheras the perpetrator. On the date of the incident, the victim child was found by themother unresponsive in the maternal grandmother’s home and the mothertransported the child the emergency room. Upon arrival at the hospital, the childwas administered a toxicology screening which was positive for illegalsubstances. It was determined through the investigation the maternalgrandmother the sole caretaker for the child at the time of the incident. As theresult of the safety assessment completed, the victim child and the two otherchildren in the home at the time of the incident remained in the home with themother and services were provided. At the time the report was indicated, thecriminal investigation was pending. The family had no prior documented childwelfare involvement."
"580",1040,"near fatality","Philadelphia",2020-12-30,2020,2020-10-01,"N","The family had no prior documented child welfare involvement.","35. A 12-month-old female child nearly died on December 30, 2020, as a result ofserious physical neglect. Philadelphia Department of Human Services indicatedthe report on February 19, 2021, naming the victim child’s mother and father asthe perpetrators. On the date of the incident, the victim child was foundunresponsive by the child’s mother and emergency medical services werecontacted. The child was transported to the children’s hospital. Upon arrival atthe hospital, the child was administered Narcan and responded positively. Thechild was given a toxicology screening which was positive for an illegalsubstance. The mother and the father could not provide a plausible explanationas to how the child ingested the illegal substance. As the result of the safetyPage 18 of 19 July 19, 20242021 1st Quarter Fatalities/Near FatalitiesJanuary 1 to March 31, 2021assessment completed, the victim child was placed in kinship care and serviceswere provided. There were no other children in the home at the time of theincident. At the time the report was indicated, no criminal charges had been filed.The family had no prior documented child welfare involvement.Page 19 of 19 July 19, 2024"
"581",1049,"fatality","Monroe",2021-05-04,2021,2021-04-01,"N"," The family had no prior documentedchild welfare involvement.","9. An 11-year-old male child died on May 4, 2021, as a result of physical abuse.Monroe County Children and Youth Services indicated the report on June 15,2021, naming the victim child’s 14-year-old sibling as the perpetrator. On thedate of the incident, the victim child was in the care of the 14-year-old siblingand was shot in the head by the sibling. Police responded to the home andthe child was pronounced dead. It was reported by the sibling the unloadedgun was retrieved from the gun safe in the home to show a friend; the gunwas then loaded, cocked, and unloaded however; the chamber was notchecked. The sibling reported accidentally pulling the trigger and shooting thechild in the head with the bullet left in the chamber of the gun. As the result ofthe safety assessment completed, the 14-year-old sibling and one other child3July 19, 20242021 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2021in the home at the time of the incident remained in the care of the mother andthe father and services were provided. At the time the report was indicated,the criminal investigation was pending. The family had no prior documentedchild welfare involvement.Montgomery"
"582",1050,"fatality","Montgomery",2021-03-19,2021,2021-01-01,"N"," The family had no prior documented child welfare involvement.","10. A 12-year-old female child died on March 19, 2021, as a result of seriousphysical neglect. Montgomery County Office of Children and Youth indicatedthe report on April 30, 2021, naming the victim’s child’s mother as theperpetrator. On the date of the incident, it was reported the mother told thevictim child’s sibling to obtain her gun; the sibling obtained the gun, pointedthe gun at the child, and the gun was discharged. The child died as the resultof the gunshot wound sustained. As the result of the safety assessmentcompleted, the four other children in the home at the of the incident, wereplaced with relatives and the sibling was incarcerated. The family receivedservices. At the time the report was indicated, the mother had been criminallycharged. The family had no prior documented child welfare involvement.Northumberland"
"583",1068,"near fatality","Lehigh",2021-02-21,2021,2021-01-01,"N"," The family had no prior documented child welfare involvement.","15. A 1-month-old male child nearly died on February 21, 2021, as a result ofphysical abuse. Lehigh County Office of Children and Youth Servicesindicated the report on April 21, 2021, naming the victim child’s father as theperpetrator. On the date of the incident, the victim child was having difficultybreathing and was unresponsive, therefore emergency services werecontacted by a household member. When police arrived, the child was foundgasping for air and a bruise was observed on the child’s head. The child wastransported to the hospital via ambulance. Medical testing revealed multiplehemorrhages, cerebral edema, a frenulum tear, and a healing right ribfracture. The injuries sustained by the child were indicative of severe inflictedhead trauma. It was determined through the investigation that the childsustained the injuries while in the care of the father. As the result of the safetyassessment completed, the victim child was placed in kinship care andservices were provided. There were no other children in the home at the timeof the incident. At the time the report was indicated, the criminal investigationwas pending. The family had no prior documented child welfare involvement."
"584",1071,"near fatality","Lehigh",2021-04-04,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","18. A 1-month-old male child nearly died on April 4, 2021, as a result of physicalabuse. Lehigh County Office of Children and Youth Services indicated thereport on June 15, 2021, naming an unknown perpetrator. On the date of theincident, the victim child was seen by a physician for a routine check-up atwhich point the physician observed distension of the abdomen and orderedimaging; the imaging revealed a skull fracture and healing rib fractures. Amedical consultation determined the injuries may have been sustained up totwo weeks prior to the date of the incident and it was unable to be determinedif the injuries were sustained the same date as the incident. The injuriessustained were indicative of non-accidental trauma however, there was aplausible explanation provided for the skull fracture. It could not bedetermined through the investigation who caused the injuries to the child. Asthe result of the safety assessment completed, the victim child and the twoother children in the home at the time of the incident remained in the homewith the parents with relatives supervising all contact and services wereprovided. At the time the report was indicated, the criminal investigation waspending. The family had no prior documented child welfare involvement.Luzerne"
"585",1080,"near fatality","Montgomery",2021-04-11,2021,2021-04-01,"N"," The family had no prior documented child welfareinvolvement.","27. A 5-month-old female child nearly died on April 11, 2021, as a result ofphysical abuse. Montgomery County Office of Children and Youth indicatedthe report on June 15, 2021, naming the victim child’s mother and father asthe perpetrators. On the date of the incident, it was reported the victim childbecame lethargic after falling off of the bed while co-sleeping with the motherand the father and was transported to the hospital by the parents. The childpresented at the hospital with a small brain bleed and rib fracture which wereindicative of non-accidental trauma. It was determined through theinvestigation the explanation provided by the mother and the father was not aplausible explanation for the injuries sustained by the child and the motherand the father were the sole caregivers of the child at the time of the incident.As a result of the safety assessment completed, the victim child and oneother child in the home at the time of the incident were placed with a relative14July 19, 20242021 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2021and services were provided. At the time the report was indicated, no criminalcharges had been filed. The family had no prior documented child welfareinvolvement.Philadelphia"
"586",1082,"near fatality","Philadelphia",2021-05-13,2021,2021-04-01,"N"," The family had no prior documented child welfareinvolvement.","29. A 2-year-old female child nearly died on May 13, 2021, as a result of physicalabuse. Philadelphia Department of Human Services indicated the report onJune 11, 2021, naming the victim child’s mother as the perpetrator. On thedate of the incident, the police were called to the home due to a disturbance;upon arrival of the police, the victim child was found unresponsive, wrappedin a blanket, and wedged between a mattress and a wall with a box fan ontop of her. The child was transported to the local children’s hospital. andpresented with a subarachnoid hemorrhage, scalp swelling, orbital fracture,and right periorbital swelling and bruising. It was determined through theinvestigation, the injuries sustained by the child while in the care of themother were indicative of blunt force trauma and non-accidental. As the resultof the safety assessment completed, the victim child and the one other childin the home at the time of the incident were placed in foster homes andservices were provided. At the time the report was indicated, the criminalinvestigation was pending. The family had no prior documented child welfareinvolvement."
"587",1083,"near fatality","Philadelphia",2021-04-26,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","30. A 15-month-old female child nearly died on April 26, 2021, as result ofphysical abuse. Philadelphia Department of Human Services indicated thereport on June 7, 2021, naming the victim child’s mother and mother’sparamour as the perpetrators. On the date of the incident, the victim childarrived at daycare not feeling well, and bruising was noted therefore,emergency services were contacted. The child presented at the hospital withseveral fractures and internal injuries which were indicative of non-accidental15July 19, 20242021 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2021trauma. It was determined through the investigation the mother and themother’s paramour could not provide a plausible explanation for the injuriessustained by the child and the mother and the mother’s paramour were thesole caretakers of the child at the time of the incident. As the result of thesafety assessment completed, the victim child was placed in foster care andservices were provided. There were no other children in the home at the timeof the incident. At the time the report was indicated, the criminal investigationwas pending. The family had no prior documented child welfare involvement."
"588",1084,"near fatality","Philadelphia",2021-04-26,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","31. A 5-year-old female nearly died on April 26, 2021, as a result of seriousphysical neglect and physical abuse. The Department of Human Services,Office of Children, Youth, and Families’ Southeast Regional Office indicatedthe report on June 21, 2021, naming the victim child’s mother’s paramour asthe perpetrator. On the date of this incident, it was reported the victim childdrank from a water bottle containing an illegal substance while in the care ofthe mother’s paramour and the child was subsequently transported to thelocal children’s hospital by the mother due to the child exhibiting an alteredmental state. The child presented at the hospital in an altered mental status,had pinpoint pupils, and slowed breathing and was administered Narcan. Itwas determined through the investigation the mother’s paramour was thesole caregiver of the child at the time of the incident and the mother wasunaware of the paramour’s substance use. As the result of the safetyassessment completed, the victim child and one other child in the home atthe time of the incident remained in the care of the mother and services wereprovided. At the time the report was indicated, no criminal charges had beenfiled. The family had no prior documented child welfare involvement."
"589",1089,"near fatality","Philadelphia",2021-05-23,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","36. A 1-month-old male child nearly died on May 23, 2021, as a result of physicalabuse. Philadelphia Department of Human Services indicated the report onJune 16, 2021, naming the victim child’s father as the perpetrator. On thedate of the incident, the victim child was transported to the emergency roomby the mother and the father due to respiratory distress. The child presentedat the hospital with multiple rib fractures. The injuries sustained by the childwere indicative non-accidental trauma. It was determined through the17July 19, 20242021 2nd Quarter Fatalities/Near FatalitiesApril 1 to June 30, 2021investigation the father was the sole caregiver for the child at the time of theincident. As the result of the safety assessment completed, the victim childand the one other child in the home at the time of the incident remained in thecare of the mother with supervision from relatives and services wereprovided. At this time the report was indicated, the father had been criminallycharged. The family had no prior documented child welfare involvement.York"
"590",1092,"fatality","Allegheny",2021-05-07,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","1.) A 4-year-old male child died on May 7, 2021, as a result of serious physical neglect.Allegheny County Office of Children, Youth, and Families indicated the report on July 6,2021, naming the victim child’s father as the perpetrator. On the date of the incident, themother returned home and found the victim child unresponsive. The child wastransported to a local hospital and pronounced dead. A toxicology report revealed thechild was positive for an illegal substance. It was determined through the investigationthat the father was the sole caregiver of the child at the time of the incident and illegalsubstances were found in the home. As the result of the safety assessment completed,the two other children in the home at the time of the incident remained in the care of themother and services were provided. At the time the report was indicated, the father hadbeen criminally charged. The family had no prior documented child welfare involvement.Berks"
"591",1094,"fatality","Dauphin",2021-05-10,2021,2021-04-01,"N"," The family had no prior documented child welfareinvolvement.","3.) A 2-month-old male child died on May 10, 2021, as a result of physical abuse. DauphinCounty Social Services for Children and Youth indicated the report on July 8, 2021,naming the victim child’s father as the perpetrator. On the date of the incident, it wasreported the victim child was found face down and unconscious underneath a babyswing in the bedroom; the father contacted emergency medical services and the childwas transported to the local hospital. The child was pronounced dead upon arrival at thehospital. An autopsy was completed which revealed a focal hemorrhage to the spinalcord, an injury consistent with whiplash, and petechia hemorrhaging to the lungs, lefteye, heart, and thymus, which are consistent with asphyxiation. It was determinedthrough the investigation that the father was the sole caregiver of the child at the time ofthe incident and the explanation provided by the father was not a plausible explanationfor the injuries sustained. There were no other children in the home at the time of theincident and no services were provided. At the time the report was indicated, the criminalinvestigation was pending. The family had no prior documented child welfareinvolvement.1July 19, 20242021 3rd Quarter Fatalities/Near FatalitiesJuly 1 to September 30, 2021Lancaster"
"592",1095,"fatality","Lancaster",2007-09-24,2007,2007-07-01,"N"," The family had no prior documented child welfare involvement.","4.) A less than 1-day-old female child died on September 24, 2007, as a result of seriousphysical neglect. Lancaster County Children and Youth Social Services Agencyindicated the report on August 9, 2021, naming the victim child's mother as theperpetrator. On the date of the incident, the victim child was found deceased inside of adumpster. At the time of death of the child the identity of the child and the mother wasunknown. An autopsy ruled the death as a homicide. Medical testing later identified the child’s mother who was interviewed by police in July 2021. It was determined throughthe investigation that the mother admitted to the police that she was the mother of thechild and gave birth to the child in her home and did not seek or provide any medicalcare for the child who subsequently died; the mother then disposed of the child’s body inthe dumpster several days later. As a result of the safety assessment completed, one ofthe children in the home at the time of the incident was placed with a relative and theone other child in the home at the time of the incident resided with their father. Thefamily received no services. At the time the report was indicated, the perpetrator hadbeen criminally charged. The family had no prior documented child welfare involvement."
"593",1099,"fatality","Philadelphia",2021-07-06,2021,2021-07-01,"N"," The family had no prior documented child welfare involvement.","8.) A 3-year-old male child died on July 6, 2021, as a result of physical abuse. PhiladelphiaDepartment of Human Services indicated the report on September 3, 2021, naming thevictim child’s father and father’s paramour as the perpetrators. On the date of theincident, emergency medical services were contacted by the family due to the victimchild being in cardiac arrest. The child was transported to the local hospital andpronounced dead in the emergency room. The death was ruled a homicide. It wasdetermined through the investigation that the father’s paramour caused the injuries tothe child on multiple occasions which led to the child’s death and the father was awarethe child was being harmed by the paramour. As the result of the safety assessmentcompleted, the one other child in the home at the time of the incident was placed infoster care and services were provided. At the time the report was indicated, the father’sparamour had been criminally charged and no criminal charged were filed against thefather. The family had no prior documented child welfare involvement."
"594",1105,"fatality","Philadelphia",2021-07-09,2021,2021-07-01,"N"," The family had no prior documentedchild welfare involvement.","14.) A 5-year-old male child died on July 9, 2021, as a result of serious physical neglect.Philadelphia Department of Human Services indicated the report on September 26,2021, naming the victim child’s father as the perpetrator. On the date of the incident, itwas reported the victim child ingested water while swimming, took a nap, subsequentlywas found unresponsive, and was transported to the hospital; the child was pronounceddead shortly after arrival at the hospital. The medical examiner revealed the child hadhigh levels of an illegal substance in all of the tissues that could not be explained, whichattributed to the child’s death. It was determined through the investigation that the fatherwas sole caregiver of the child at the time of the incident. As the result of the safetyassessment completed, the one other child in the home at the time of the incident wasplaced with the mother and no services were provided. At the time the report was4July 19, 20242021 3rd Quarter Fatalities/Near FatalitiesJuly 1 to September 30, 2021indicated, the criminal investigation was pending. The family had no prior documentedchild welfare involvement.Near FatalitiesAllegheny"
"595",1113,"near fatality","Centre",2021-05-28,2021,2021-04-01,"N"," The family had no prior documented child welfareinvolvement.","8.) A 2-week-old male child nearly died on May 28, 2021, as a result of physical abuse.Centre County Children and Youth indicated the report on July 15, 2021, naming thevictim child’s mother and father as the perpetrators. On the date of the incident, thevictim child was taken to the local hospital by the mother and the father for concerns ofseizure activity and was subsequently transferred to a local specialty hospital. Imagingrevealed the child had a left sided subdural hemorrhage, brain bleeds, brain damage,and numerous fractures throughout the body in various stages of healing. It wasdetermined through the investigation that the mother and the father were the solecaregivers of the child at the time the incident and the injuries sustained were the resultof non-accidental trauma; the mother and the father provided inconsistent accounts ofthe events of the incident. As the result of the safety assessment completed, the childwas placed in foster care and services were provided. There were no other children inthe home at the time of the incident. At the time the report was indicated, the criminalinvestigation was pending. The family had no prior documented child welfareinvolvement.Dauphin"
"596",1119,"near fatality","Lancaster",2021-08-30,2021,2021-07-01,"N"," The family had no prior documented childwelfare involvement.","14.) A 3-month-old male child nearly died on August 30, 2021, as a result of physical abuse.Lancaster County Children and Youth Social Services Agency indicated the report onSeptember 24, 2021, naming the victim child’s babysitter as the perpetrator. On thedate of the incident, the babysitter contacted the mother and stated the victim child wasacting abnormal; the mother reported she arrived at the babysitter’s and the child wastwitching and breathing abnormally, therefore, emergency services were contacted bythe mother. The child presented at the hospital having a seizure and was in respiratorydistress and further medical evaluation revealed a subdural hematoma. It wasdetermined through the investigation that the babysitter admitted to causing the injuriessustained by the child. As the result of the safety assessment completed, the victimchild remained in the care of the mother and the one other child in the home at the timeof the incident was placed with a relative. At the time the report was indicated, thebabysitter had been criminally charged. The family had no prior documented childwelfare involvement."
"597",1121,"near fatality","Lancaster",2021-05-12,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","16.) A 2-year-old male child nearly died on May 12, 2021, as a result of serious physicalneglect. Lancaster County Children and Youth Services indicated the report on July 13,2021, naming the victim child’s mother and father as the perpetrators. On the date ofthe incident, the victim child fell from the second story of a barn landing on a concretefloor which caused the child to lose consciousness. Two days later, on May 14, 2021,the father took the child on the wagon to feed to the animals and the child fellapproximately three feet to the ground. On May 15, 2021, the mother and the father9July 19, 20242021 3rd Quarter Fatalities/Near FatalitiesJuly 1 to September 30, 2021consulted the primary care provider, who instructed them to take the child to thehospital. Upon arrival at the hospital, the child was found to have a subdural hematomato the left side of the head, a skull fracture, a black eye, a bruise behind the right ear,and scattered bruising on the body. It was determined through the investigation that thechild was lethargic and vomiting for a several days and the mother and the father didnot seek immediate medical attention for the child. As the result of the safetyassessment completed, the victim child and the one other child in the home at the timeof the incident remained in the care of the mother and the father with supervision by arelative and services were provided. At the time the report was indicated, no criminalcharges had been filed. The family had no prior documented child welfare involvement.Luzerne"
"598",1124,"near fatality","Northampton",2021-05-11,2021,2021-04-01,"N"," The family had no prior documented child welfare involvement.","19.) A 1-month-old female child nearly died on May 11, 2021, as a result of physical abuse.Northampton County Children, Youth, and Families indicated the report on July 30,2021, naming the victim child’s mother as the perpetrator. On June 27, 2021, the victim10July 19, 20242021 3rd Quarter Fatalities/Near FatalitiesJuly 1 to September 30, 2021child was taken to the local emergency department by the mother and the father due toa reported seizure. A computerized tomography scan was completed which revealed asubdural bleed. It was determined through the investigation that the mother admitted toshaking the child on several occasions dating back to May 11, 2021, and the father wasunaware of the mother shaking the child. As the result of the safety assessmentcompleted, the victim child was placed in care of a relative and the one other child inthe home at the time of the incident remained in the care of their respective father. Thefamily received services. At the time the report was indicated, the mother had beencriminally charged. The family had no prior documented child welfare involvement.Philadelphia"
"599",1125,"near fatality","Philadelphia",2021-08-08,2021,2021-07-01,"N"," The family had no prior documented child welfare involvement.","20.) A 19-month-old male child nearly died on August 8, 2021, as a result of physical abuse.Philadelphia Department of Human Services indicated the report on September 22,2021, naming the victim child’s mother and mother’s paramour as the perpetrators. Onthe date of the incident, the victim child was dropped off to the babysitter’s home by thefather; the child began vomiting and the babysitter noticed bruises and head swelling onthe child. The babysitter transported the child to a local hospital. The child presented atthe hospital with a skull fracture, a head bleed, and bruises all over the body. It wasdetermined through the investigation that the mother and the mother’s paramour werethe sole caregivers of the child when the injuries were sustained by the child. As theresult of the safety assessment completed, the victim child was placed in the care of arelative and services were provided. There were no other children in the home at thetime of the incident. At the time the report was indicated, no criminal charges had beenfiled. The family had no prior documented child welfare involvement."
"600",1127,"near fatality","Philadelphia",2021-06-22,2021,2021-04-01,"N","The family had no prior child welfare involvement.","22.) A 2-year-old female child nearly died on June 22, 2021, as a result of serious physicalneglect. Philadelphia Department of Human Services indicated the report on July 16,2021, naming the victim child’s cousin, maternal aunt, and maternal aunt’s paramour asthe perpetrators. On the date of the incident, emergency services responded to thehome after the victim child was shot in the lower left arm by a cousin. It was determinedthrough the investigation that the maternal aunt was responsible for caring the childrenat the time of the incident and left the children in the care of the cousin who failed toproperly supervise the children. The maternal aunt’s paramour owned the firearm anddid not properly secure the firearm. As the result of the safety assessment completed,the victim child remained in the care of the mother and the two other children in the11July 19, 20242021 3rd Quarter Fatalities/Near FatalitiesJuly 1 to September 30, 2021home at the incident were placed with relatives and no services were provided. At thetime the report was indicated, the cousin and the maternal aunt’s paramour had beencriminally charged and no criminal charges had been filed against the maternal aunt.The family had no prior child welfare involvement."
"601",1128,"near fatality","Philadelphia",2021-08-31,2021,2021-07-01,"N"," The family had no prior documented child welfareinvolvement.","23.) A 1-month-old female child nearly died on August 31, 2021, as a result of physicalabuse. Philadelphia Department of Human Services indicated the report on September23, 2021, naming the victim child’s mother and father as the perpetrators. On the dateof the incident, it was reported the victim child was twitching and having seizurestherefore, the mother transported the child to the local children’s hospital. The childpresented at the hospital with bleeding on the spine, behind the eye, and brain, a neckinjury, and healing rib fracture and was admitted to the intensive care unit. It wasdetermined through the investigation the injuries sustained by the child were the resultof abuse and the mother and the father were the sole caregivers of the child at the timethe injuries were sustained. As the result of the safety assessment completed the victimchild was placed in foster care and services were provided. There were no otherchildren in the home at the time of the incident. At the time the report was indicated, nocriminal charges had been filed. The family had no prior documented child welfareinvolvement."
"602",1132,"near fatality","Wyoming",2021-07-17,2021,2021-07-01,"N"," The family had no prior documented child welfare involvement.","27.) A 4-year-old male child nearly died on July 17, 2021, as a result of serious physicalneglect. Wyoming County Children and Youth Services indicated the report on August3, 2021, naming the victim child’s mother as the perpetrator. On the date of the incident,the mother left the victim child unsupervised in a running vehicle; when the motherreturned to the vehicle, she found the child with his head outside the window andwindow rolled up on his neck with vomit on the car. The mother released the window,pulled the child from the car, began cardiopulmonary resuscitation, and contactedemergency medical services. The victim child was life flighted to a pediatric specialtyhospital. It was determined through the investigation that the mother left the childunsupervised at the time of the incident. As the result of the safety assessmentcompleted, the victim child and one other child in the home at the time of the incidentremained in the home with all contact with the mother being supervised by the father ora relative and services were provided. At the time the report was indicated, no criminalcharges had been filed. The family had no prior documented child welfare involvement.13July 19, 2024"
"603",1134,"fatality","Allegheny",2021-11-22,2021,2021-10-01,"N"," The family had no prior documented child welfare involvement.","2.) A 5-year-old male child died on November 22, 2021, as a result of serious physicalneglect. Allegheny County Office of Children, Youth, and Families indicated the report onDecember 20, 2021, naming the victim child’s mother and father as the perpetrators. Onthe date of the incident, the victim child was shot in the head. The child was transportedvia ambulance to the local regional pediatric hospital. Upon arrival at the hospital, thechild was pronounced dead. It was determined through the investigation that the motherand the father left an unsecured gun accessible to the children and the victim child’ssibling shot the victim child. As the result of the safety assessment completed, the victimchild’s sibling was placed into a congregate care setting and the two other children in thehome at the time of the incident remained in the home. The family received services. Atthe time the report was indicated, the mother and the father had been criminallycharged. The family had no prior documented child welfare involvement.Beaver"
"604",1136,"fatality","Beaver",2021-10-09,2021,2021-10-01,"N"," The family had no prior child welfare involvement.","4.) A 9-month-old female child died on October 9, 2021, as a result of serious physicalneglect. Beaver County Children and Youth Services indicated the report on October 19,2021, naming the victim child’s mother as the perpetrator. On September 25, 2021, itwas reported the mother found the victim child limp, began cardiopulmonaryresuscitation, and contacted emergency medical services. Upon arrival of emergency1July 19, 20242021 4th Quarter Fatalities/Near FatalitiesOctober 1 to December 31, 2021services, the child was found in cardiac arrest with an illegal substance in the mouth andwas transported to the local pediatric regional hospital. The child was administered atoxicology screening and tested positive for illegal substances. The child subsequentlydied on October 9, 2021, as a result of ingestion. It was determined through theinvestigation that the mother was the sole caregiver of the child at the time of theincident. There were no other children in the home at the time of the incident and noservices were provided. At the time the report was indicated, the mother had beencriminally charged. The family had no prior child welfare involvement.Berks"
"605",1137,"fatality","Berks",2020-02-18,2020,2020-01-01,"N"," The family had no prior documented child welfareinvolvement.","5.) A 14-month-old female child died on February 18, 2020, as a result of physical abuse.Berks County Children and Youth Services founded the report on December 28, 2021,naming the victim child’s father as the perpetrator. On the date of the incident, the victimchild became unresponsive while co-sleeping with the father and was transported to thelocal hospital. Upon arrival at the hospital, the child was pronounced dead. It wasdetermined through the investigation that the father was under the influence of an illegalsubstance at the time of the incident. As the result of the safety assessment completed,the three other children in the home at the time of the incident were placed with arelative and services were provided. At the time the report was founded, the perpetratorhad a disposition of criminal charges. The family had no prior documented child welfareinvolvement."
"606",1139,"fatality","Cumberland",2021-08-15,2021,2021-07-01,"N"," The family had no prior documented child welfare involvement.","7.) A 10-year-old female child died on August 15, 2021, as a result of serious physicalneglect. Cumberland County Children and Youth Services indicated the report onOctober 15, 2021, naming the victim child’s mother and father as the perpetrators. Onthe date of the incident, the victim child was found unresponsive by the mother and thechild subsequently died. The child had a preexisting medical condition which causedsevere symptoms when the child was eating minimally leading up to the child’s state ofunresponsiveness. An autopsy was completed which revealed fecal matter in the colonand the child was underweight. It was determined through the investigation that the childhad not been medically evaluated since 2016 and the mother and the father were awareof the child’s medical condition and were not seeking appropriate medical care for thechild. As the result of the safety assessment completed, the one other child in the home2July 19, 20242021 4th Quarter Fatalities/Near FatalitiesOctober 1 to December 31, 2021at the time of the incident remained in the care of the mother and the father and serviceswere provided. At the time the report was indicated, the criminal investigation waspending. The family had no prior documented child welfare involvement.Dauphin"
"607",1154,"near fatality","Allegheny",2021-10-22,2021,2021-10-01,"N"," The family had no prior documented child welfare involvement.","4.) A 2-year-old male child nearly died on October 22, 2021, as a result of serious physicalneglect. The Department of Human Services, Office of Children, Youth, and Families’Western Regional Office indicated the report on December 22, 2021, naming anunknown perpetrator. On the date of the incident, the victim child was foundunresponsive by a caregiver, emergency services were contacted, and the child was6July 19, 20242021 4th Quarter Fatalities/Near FatalitiesOctober 1 to December 31, 2021transported to the local hospital. Upon arrival at the hospital the child was administeredNarcan and was given a toxicology screening which revealed the child was positive foran illegal substance. It was determined through the investigation that interviews of allhousehold members could not determine who was responsible for the illegal substancebeing brought into the home, as there were multiple persons in the home therefore, anunknown perpetrator was named as the perpetrator. As the result of the safetyassessment completed, the victim child was placed with the father and the two otherchildren in the home at the time of the incident remained in the home. There were noservices provided. At the time the report was indicated, no criminal charges had beenfiled. The family had no prior documented child welfare involvement."
"608",1155,"near fatality","Allegheny",2021-10-19,2021,2021-10-01,"N"," The family had no prior documentedchild welfare involvement.","5.) A 3-week-old male child nearly died on October 19, 2021, as a result of physical abuse.Allegheny County Office of Children, Youth and Families indicated the report onDecember 20, 2021, naming the victim child’s mother and father as the perpetrators. OnNovember 24, 2021, the victim child attended a doctor’s appointment and was observedto have bruising to the feet and face; the child was transferred to the local regionalpediatric hospital. Upon arrival at the hospital, the child was administered a skeletalsurvey which revealed healing rib fractures, right tibia and fibula fractures, bilateralsubdural hematomas with a skull fracture, and an acute intercranial hemorrhage. It wasdetermined through the investigation that the child sustained the injuries over a period oftime dating back to October 2021 and the mother and the father were the solecaregivers of the child during this time period. As the result of the safety assessmentcompleted, the victim child was placed with a relative and services were provided. Therewere no other children in the home at the time of the incident. At the time the report wasindicated, the criminal investigation was pending. The family had no prior documentedchild welfare involvement.Beaver"
"609",1156,"near fatality","Beaver",2021-09-23,2021,2021-07-01,"N"," The family had no prior documented childwelfare involvement.","6.) A 5-month-old female child nearly died on September 23, 2021, as a result of seriousphysical neglect and physical abuse. Beaver County Children and Youth Servicesindicated the report on November 22, 2021, naming the victim child’s mother and fatheras the perpetrators. On the date of the incident, it was reported the victim child wasfound unresponsive with a plastic bag covering the child’s head and emergency serviceswere contacted. The child was initially transported to the local hospital in cardiac arrestand subsequently was transferred to the local children’s hospital. It was determinedthrough the investigation that the child asphyxiated on the plastic bag for approximatelyone hour before being discovered; the mother and the father left the plastic bag withinreach of the child on the day of the incident knowing the child had been playing with theplastic bag. It was also determined through the investigation that at the time of theincident, the father, who was the sole caregiver of the child, was under the influence of asubstance and the mother was aware. As the result of the safety assessment completed,the victim child was placed in a treatment facility and services were provided. Therewere no other children in the home at the time of the incident. At the time the report wasindicated, no criminal charges had been filed. The family had no prior documented childwelfare involvement.Dauphin"
"610",1166,"near fatality","Lancaster",2021-09-13,2021,2021-07-01,"N"," The family had no prior documented child welfare involvement.","16.) A 2-week-old male child nearly died on September 13, 2021, as a result of physicalabuse. Lancaster County Children and Youth Social Services Agency indicated thereport on November 24, 2021, naming the victim child’s mother and father as theperpetrators. On the date of the incident, the victim child was unable to move the rightarm and would cry when the arm was moved therefore the mother and the fathertransported the child to the local hospital. The child presented to the hospital with afractured arm and fractured ankles. It was determined through the investigation that themother and the father were the sole caregivers of the child at the time of the incident andthe injuries sustained were the result of nonaccidental trauma and happened over aperiod of time. As the result of the safety assessment completed, the victim child and theone other child in the home at the time of the incident were placed with a relative andservices were provided. At the time the report was indicated, the criminal investigationwas pending. The family had no prior documented child welfare involvement."
"611",1171,"near fatality","Philadelphia",2021-08-23,2021,2021-07-01,"N"," The family had no prior documented child welfareinvolvement.","21.) An 8-year-old female child nearly died on August 23, 2021, as a result of physical abuse.Philadelphia Department of Human Services indicated the report on November 19, 2021,11July 19, 20242021 4th Quarter Fatalities/Near FatalitiesOctober 1 to December 31, 2021naming the victim child’s mother as the perpetrator. On the date of the incident, thevictim child was transported and admitted to the local children’s hospital due to concernswith the child’s central line catheter site. While hospitalized, the child went into septicshock and required resuscitation. It was determined through the investigation that themedical devices were tampered with causing the child to go into septic shock requiringresuscitation and the mother was the only person present with the child in the hospitalroom when the medical devices were tampered with. As the result of the safetyassessment completed, the victim child remained hospitalized with a safety planimplemented; the two other children in the home at the time of the incident were placedwith relatives and no services were provided. At the time the report was indicated, thecriminal investigation was pending. The family had no prior documented child welfareinvolvement."
